Cluster,Title,Summary
0,Iranas: naujose derybose su JAV bus aptarti branduoliniai klausimai ir sankcijos,"Tekste aptariamos Irano ir JAV derybos dėl Irano branduolinės programos, kurių tarpininkavo Omanas, tačiau Teheranas pabrėžė, kad daugiausia dėmesio bus skiriama tik branduoliniam klausimui ir sankcijų panaikinimui. Šios derybos įvyko po D. Trumpo pasitraukimo iš tarptautinio susitarimo ir buvo konstruktyvios, nors Teheranas tvirtina, kad tik apie savo branduolinę programą."
0,Raudonasis Pusmėnulis: praėjusį mėnesį per ataką dingęs medikas yra sulaikytas Izraelio,"„Tarptautinis Raudonojo Kryžiaus komitetas"" informavo, kad medikas Asaadas al Nsasrahas yra laikomas Izraelio okupacinės valdžios institucijų, po to kai Izraelio kariai apšaudė greitosios pagalbos automobilius Gazos Ruože, žuvo 15 medikų ir gelbėtojų. Izraelio kariuomenė teigia, kad vyksta išsamus išpuolio tyrimas, o JT humanitarinės pagalbos agentūra OCHA tai pavadino masine kapaviete."
0,Medicininės išvados: D. Trumpas yra puikios sveikatos ir pajėgus eiti prezidento pareigas,"„Prezidentas Donaldas Trumpas“, pradėjęs antrąją kadenciją, buvo patikrintas dėl puikios sveikatos ir buvo patvirtintas tinkamu eiti JAV prezidento pareigas, nors buvo pastebėti ir kiti sveikatos sutrikimai, tokie kaip odos pažeidimai nuo saulės ir randas ant dešinės ausies. Baltieji rūmai anksčiau sakė, kad prezidento gydytojas Seanas Barbabella pateiks visą sveikatos patikrinimo ataskaitą."
0,Konservatorė siūlo birželio 14-ąją paskelbti Pasauline kraujo donorų diena,"„Pasaulinės kraujo donorystės dienos pripažinimas būtų svarbus siekiant skatinti neatlygintiną kraujo donorystę ir skatinti donorų indėlį gelbstint gyvybes, kas galėtų prisidėti prie didesnio donorų skaičiaus ir sveikatos sistemos funkcionavimo. Ši diena minima jau trečią kartą, o jos paminėjimas būtų svarbus siekiant ugdyti jaunimo sąmoningumą, pilietinį aktyvumą ir visuomenės požiūrį į donorystę."
0,Lietuvos bitininkų sąjunga: ar Lietuvos prekybos centrai parduoda autentišką medų?,"Tekste aptariama Lietuvos bitininkų sąjungos problema dėl didelio neautentiško medaus importo į Lietuvą iš ES, kuris pažeidžia vartotojų teises ir kelia ekonominę bei moralinę žalą Lietuvos bitininkystės ūkiams. Lietuvos bitininkų sąjunga ragina sugriežtinti medaus importo kontrolę, atlikti autentiškumo tyrimus ir pašalinti iš rinkos suklastotus produktus, siekiant apsaugoti vartotojų teises."
0,Įžūlumo viršūnė: rusai tvirtina per ataką Kryvyj Rihe nukovę 85 ukrainiečių karius,"„Iskander-M“ raketa smogė Kryvyj Riho gyvenamajam rajonui, žuvo 20 žmonių, tarp jų devyni vaikai, o Rusijos gynybos ministerija patvirtino, kad smūgiai buvo nukreipti į karinius taikinius, tačiau Prancūzijos televizijos kanalas „France 24“ patvirtino, kad smūgis įvyko netoli vaikų žaidimų aikštelės."
0,Paskelbė būsto paiešką vokiečių brigados šeimoms: tokio atsako nesitikėjo,"„Ober-haus“ Senamiesčio biuro vadovas Marius Čiulada pranešė, kad Vokietijos brigados kariai aktyviai bendradarbiauja su lietuviais, ieškodami tinkamų būstų Vilniuje ir Kaune, tačiau jų pageidavimai dėl būstų išlieka tokie pat, kaip ir anksčiau."
0,"Žuvusiųjų skaičius auga: po rusų smūgio Sumų miestui žuvo 32 žmonės, 99 sužeisti","Tekste aptariamas Rusijos raketų smūgis Sumų mieste, kuriame žuvo ir buvo sužeisti civiliai, o mieste vyksta gelbėjimo operacijos; taip pat pabrėžiama būtinybė intensyvinti spaudimą Rusijai nutraukti karą prieš Ukrainą."
0,Tomo sugrąžinimo operacija: Ukrainoje bandant išnešti kūną sužeisti latvis ir prancūzai,"„Ušinsko“ žurnalistas Tomas Valentėlis pasakoja apie sudėtingą operaciją pargabenti iš mūšio lauko Ukrainoje žuvusį lietuvišką T. Valentėlį, kurią vykdė kariai kartu su amerikiečiu ir prancūzais, tačiau nepavyko ištraukti jo kūno."
0,"Legendinių „Bačkonių“ vadovas – apie gaisro pasekmes: nuostoliai didžiuliai, o draudimo nėra","„Bačkonių“ komplekso „Bačkonys“ vadovas R.Paškauskas, įsigijęs šią vietą prieš 35-erius metus, teigia, kad draudimo išmokos nepagelbės po gaisro, tačiau tikina esąs nusiteikęs su viskuo susitvarkyti po gaisro ir pažada, kad restoranas „Bačkonys“ sugrįš, nes tai ne tik verslas, bet ir bendrystės ir šilumos vieta."
0,"Blogi ir blogiausi sprendimai, kai akcijų rinkos krenta: 4 ekspertų patarimai, ko nedaryti","„juodojo pirmadienio"" ir trumpo atokvėpio metu Azijos ir Europos akcijų rinkos vėl krito, reaguodamos į Kinijos sprendimą taikyti muitus amerikietiškų prekių importui, tačiau JAV prezidentas Donaldas Trumpas atkeršys Kinijai. Finansų ekspertai Martynas Juška ir Arvydas Jacikevičius išskyrė keturias didžiausias investuotojų klaidas per finansų rinkų nuosmukius."
0,„Maximoje“ to dar nebuvo: „Maisto krautuvėje“ ilgo galiojimo maisto prekėms – 40 proc. nuolaida*,"„Maximoje“ pirmą kartą suteikiama 40 proc. nuolaida ilgo galiojimo maisto prekėms per „Maisto krautuvę“, kuri veikia visą savaitgalį nuo šiandien iki pat sekmadienio vakaro. Nuolaida taikoma ne tik maisto prekėms, bet ir visai gausai kitų prekių kategorijų, todėl pirkėjai gali reikšmingai sutaupyti."
0,G. Nausėda apie raketų smūgį Sumuose: dar vienas bjaurus Rusijos karo nusikaltimas,"„Dar vienas bjaurus Rusijos karo nusikaltimas įsiplieskė Sumų širdyje“, kur žuvo 31 žmogus ir sužeisti 84, o šalies vadovas G. Nausėda reiškia užuojautą ir ragina panaudoti jėgą, kad sustabdytų šį barbarišką nusikaltimą."
0,Už kiek buvo parduotas brangiausias pasaulio automobilis?,"„Mercedes-Benz 300 SLR Uhlenhaut Coupé“ parduotas Štutgarte už 106 mln. eurų daugiau nei ankstesnis rekordininkas, o abu automobiliai pateko į istorinę „Mercedes-Benz“ automobilių kolekciją, nors jų savininko tapatybė yra griežtai saugoma."
0,Itin spartų augimą pademonstravusios ir kriptovaliutų sistemos plėtrą paskatinusios „Bifinity“ vadovas: tai tik pirmieji mūsų žingsniai Lietuvoje,"„Bifinity“, „Binance“ padalinys Lietuvoje, per ketverius metus tapo svarbiu Lietuvos „fintech“ ir blokų grandinės sektoriaus žaidėju, perkopė 1 mlrd. eurų vertės ribą ir pateko į prestižinį „Baltic TOP 30“ reitingą. Įmonė siekia išlaikyti aukštą atitiktį standartams ir plėsti savo veiklą Europoje, stiprindama finansų sektoriaus ekosistemą bei skatinant inovacijas."
0,Velykų savaitgalį – daugiau vietų keliaujantiems traukiniais tarp Vilniaus ir Klaipėdos,"„LTG Link“ siūlo 30 proc. daugiau vietų Vilniaus ir Klaipėdos maršrutuose, taip pat kursuos papildomi reisai, todėl planuojantiems keliones balandžio 18-21 dienomis rekomenduojama bilietais pasirūpinti iš anksto. Nuo balandžio įsigaliojo papildomos lengvatos moksleiviams, pensininkams ir šeimoms, o 2024 metais traukiniais Lietuvoje keliavo 5,5 milijono keleivių."
0,"Tragiška avarija Panevėžio rajone: avarijos metu žuvo žmogus, buvo sutrikęs eismas","„Audi A4“ ir „Volvo V60“ lengvieji automobiliai susidūrė Barklainių kaime, įvykio metu žuvo „Audi A4“ vairuotojas, o du „Volvo V60“ keleiviai, įskaitant kūdikio besilaukiančią moterį, buvo sužeisti; dėl susidūrimo A8 kelias Panevėžys-Sitkūnai buvo uždarytas."
0,Karas Ukrainoje. „Financial Times“: Putino kariniam biudžetui kyla grėsmė,"„Financial Times"" praneša, kad dėl JAV prezidento Donaldo Trumpo tarifų karo kritusios naftos kainos mažina Rusijos vadovo Vladimiro Putino karinį biudžetą, kas gali priversti jį didinti skolinimąsi, mažinti nekarines išlaidas ir naudoti rezervus. Nepaisant JAV prezidento pastangų gerinti santykius su Rusija, naftos kainų kritimas gali neigiamai paveikti šalies BVP augimą."
0,Drevernos kavinėje – galingas sprogimas: atstatymas užtruks apie dvi savaites,"„Hortivita“ kavinėje įvyko sprogimas, kurio metu išversta pastato siena, dužo langai, o gaisras nekilo, ugniagesiai tiesiog sušlavė duženas. Atstatymo darbai planuojami per dvi savaites, tačiau nuostolius įvertinti sunku."
0,Nekartokite Rimanto klaidos skrisdami: nuostoliai viršijo 1500 eurų,"„Oro skundo“ ekspertas Balys Rimkus paaiškino, kaip keleivių teisių gynimo ekspertas Balys Rimkus turėtų elgtis tokiais atvejais, kai skrydžių eiliškumas pažeidžia skrydžių eiliškumą, o R.Navickas, skrendant iš Rygos į Honkongą per Stambulą per Stambulą į Honkongą, per klaidą su bendrakeleive pražiopsojo skrydžio laiką, tačiau galiausiai pasiekė kelionės tikslą – Honkongą."
0,Per „Vinted“ naudotus daiktus pardavusiai klaipėdietei VMI priskaičiavo mokesčių: viena klaida kainavo daug nervų,"Tekste aptariama, kaip įrodyti, kad parduoto turto pajamos neviršija 2500 eurų, kad būtų įtrauktos į apmokestinimą, tačiau „Vinted"" neteisingai priskyrė jos ir kitų vartotojų pajamas kaip uždarbį iš individualios veiklos. VMI pabrėžia, kad apmokestinimas yra atskiras klausimas, o „Vinted"" priminė, kad ataskaitų"
0,Žaslių pragaras: prieš 50 metų įvyko didžiausia traukinių avarija Lietuvos istorijoje,"Tekste aptariama 1975 m. balandžio 4 d. įvykdyta tragiška nelaimė, kai greitasis keleivinis dyzelinis traukinys, važiavęs maršrutu Vilnius-Kaunas, trenkėsi į prekinio traukinio cisterną, pilną benzino, nuo kurios užsidegė benzinas, sukeldamas dvigubą keleivių sąstatą."
0,Kaip dažnai liepsnoja elektriniai paspirtukai?,"Tekste aptariama, kaip el. paspirtukų ir dviračių populiarumas Lietuvoje didėja dėl senstant ličio jonų baterijų, o ekspertai įspėja apie jų nestabilumo ir užsidegimo riziką, pabrėždami būtinybę tinkamai valdyti baterijų priežiūrą ir pasidomėti būsto draudimu."
0,"Vilniaus gatvėmis rieda 91 naujas troleibusas: be šoninių veidrodėlių, su stebėjimo kameromis ir „Wi-Fi“","„Škoda 32Tr“ troleibusai Vilniuje bus atnaujinti iki 2026 m. pabaigos, siekdami užtikrinti modernias keliones keleiviams, geresnes darbo sąlygas vairuotojams ir efektyviau organizuoti maršrutus, įdiegdami pažangius saugumo sprendimus, įskaitant „Mirror Eye“ sistemą ir 16 vaizdo kamerų. Be to, naujieji troleibusai yra energetiškai efektyvesni ir gali nuvažiuoti iki 20 km"
0,Elektromobiliu nuo Estijos iki Čekijos. Vairavimo ir įkrovimo ypatumai,"„Renault Scenic“ hibridas leidžia naudoti elektromobilius tiek trumpam poilsiui, tiek ilgalaikėms kelionėms, tačiau dėl didelio baterijos eikvojimo kelionė gali užtrukti ilgiau nei planuota. Lietuvoje, Lenkijoje ir Čekijoje situacija geresnė, tačiau didelės galios įkrovimo stotelių pasiūla mažėja, o elektromobilių įkrovimo paslaugų teikėjai susiduria su iššūkiais."
0,"Pagimdė moteris, kuriai buvo transplantuota gimda: „Tai didžiausia dovana“","„Womb Transplant UK“ finansuoja gimdos transplantaciją, kurią laimėjo G. Davidson sesuo, siekdama gauti finansavimą po 25 metų trukusių novatoriškų tyrimų. Šis atradimas suteikia moterims viltį susilaukti dar vieno kūdikio, nes mirusios donorės gali gauti finansavimą gydant nevaisingumą."
0,Ko Lietuva nežino apie „Tesla“: paaiškėjo netikėti pardavimų skaičiai mūsų šalyje,"„Tesla"" pardavimai Lietuvoje neskelbiami dėl Elono Musko politinės orientacijos sukeltų problemų, o įmonė įsteigta Vilniuje, tačiau tarpininkaujančioms įmonėms beveik neliko vietos. Nepaisant to, „Tesla Supercharger"" įkrovimo stotelės Kaune gali pasikrauti iki 322 km nuvažiuojamam atstumui."
0,"Magistralėje tarp Vilniaus ir Kauno rekonstruojant Krunos tiltą, keičiama eismo tvarka","„Via Lietuva“ planuoja rekonstruoti Krunos tiltą iki 2026 m. pabaigos, įrengiant laikinus tilto ir esamo tilto atitvarus, siekiant užtikrinti eismo dalyvių saugumą ir kariniam mobilumui. Projektui skirta 9,4 mln. eurų europinių lėšų, o iki 2026 m. pabaigos tiltas bus pritaikytas ir kariniam mobilumui."
0,"Ką būtina žinoti prieš lipant į lėktuvą? Etiketo taisyklės, kurios išgelbės nuo gėdos","„Avion Express“ skrydžio metu svarbu gerbti oro linijų taisykles ir gerbti skrydžių palydovus, kurie rūpinasi keleivių komfortu ir sauga. Etiketo ekspertė Indrė Sapagovaitė-Briedelienė pataria atkreipti dėmesį į daiktadėžę, asmeninius daiktus ir garsus skrydžio metu, siekiant užtikrinti keleivių komfortą ir poilsį."
0,Košmaras restorane: slaptame kambarėlyje pareigūnai išvydo siaubo sceną,"Tekste aptariama, kaip policija uždarė kinų restoraną „Jin Gu“ Madride, kur buvo rasti gatvės balandžiai ir tarakonų pilnoje patalpoje, o restorane buvo laikomi neaiškios kilmės produktai, įskaitant žiurkes ir pūvantą mėsa."
0,Dominikos Respublikoje įgriuvus naktinio klubo stogui žuvusių žmonių padaugėjo iki 226,"„Jet Set“ klube „Jet Set“ Karibų valstybėje įvykus nelaimei, žuvo 221 žmogus, o dar keturi mirė, įskaitant garsųjį dainininką Rubby Perezą; tarp aukų yra haitietis, italas ir du Prancūzijos piliečiai; po nelaimės 189 žmonės buvo išgelbėti, o kitos kovoja dėl gyvybės ligoninėse."
0,„Linavos“ prezidentas: kreiptis į ES teismą dėl Mobilumo paketo žalos norėtų iki 10 įmonių,"„Linavos"" prezidentas E. Mikėnas teigia, kad Lietuvos transporto įmonės jau pateikė skundą dėl 2022-2024 metais galiojančio Bendrijos Mobilumo paketo padarytos žalos, tačiau procesai gali užtrukti dėl reikalingų dokumentų pateikimo ir žyminio mokesčio mokėjimo. Skundą dėl ES Mobilumo paketo žalos pateikė 10 įmonių, o procesas gali užtrukti nuo 1,5 iki 2 metų."
0,Pareigūnai: per Izraelio smūgį nukentėjo ligoninė Gazos Ruože,"„Hamas"" valdomos teritorijos civilinės gynybos agentūra pranešė, kad Izraelio oro pajėgos nusitaikė į „al Ahli"" ligoninę Gazos mieste, kur įvyko sprogimas, per kurį žuvo daugiau nei 100 žmonių, o pastatai buvo apgadinti; Izraelis kaltina „Hamas"" po ligoninėmis įrengus tunelius ir naudojant medicinos įstaigas kaip vadavietes išpuoliams prieš kariuomenę."
0,Mėnesį Tailande leidęs Kazlų Rūdos meras pasisakė apie „ladyboys“: „Jie bando rinktis lengvesnį gyvenimą“,"„Klaipėdos meras Mantas Varaška“, susidūręs su sveikatos problemomis, išvyko į Tailandą, kur praleido mėnesį sportuodamas ir mėgavosi puikia Tailando virtuve. Jis teigė, kad per mėnesį egzotikos netyrė, o su populiariais ladyboys jokių problemų neturėjo, ir pabrėžė, kad tai nedėkingo pasirinkimo klausimas."
